
2024/09/11 (02:42:23) | ===> btop++ v.1.3.2
2024/09/11 (02:42:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/11 (19:10:45) | ===> btop++ v.1.3.2
2024/09/11 (19:10:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/11 (22:58:19) | ===> btop++ v.1.3.2
2024/09/11 (22:58:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/11 (23:13:53) | ===> btop++ v.1.3.2
2024/09/11 (23:13:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/11 (23:41:02) | ===> btop++ v.1.3.2
2024/09/11 (23:41:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/12 (00:35:20) | ===> btop++ v.1.3.2
2024/09/12 (00:35:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/13 (08:39:28) | ===> btop++ v.1.3.2
2024/09/13 (08:39:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/13 (08:45:51) | ===> btop++ v.1.3.2
2024/09/13 (08:45:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/13 (08:47:00) | ===> btop++ v.1.3.2
2024/09/13 (08:47:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/13 (08:47:17) | ===> btop++ v.1.3.2
2024/09/13 (08:47:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/13 (08:53:46) | ===> btop++ v.1.3.2
2024/09/13 (08:53:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/13 (11:42:06) | ===> btop++ v.1.3.2
2024/09/13 (11:42:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/14 (07:05:10) | ===> btop++ v.1.3.2
2024/09/14 (07:05:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/14 (14:37:43) | ===> btop++ v.1.3.2
2024/09/14 (14:37:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/16 (10:02:09) | ===> btop++ v.1.3.2
2024/09/16 (10:02:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/16 (10:18:57) | ===> btop++ v.1.3.2
2024/09/16 (10:18:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/16 (10:43:26) | ===> btop++ v.1.3.2
2024/09/16 (10:43:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/16 (14:24:54) | ===> btop++ v.1.3.2
2024/09/16 (14:24:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/18 (07:52:29) | ===> btop++ v.1.3.2
2024/09/18 (07:52:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/18 (20:15:58) | ===> btop++ v.1.3.2
2024/09/18 (20:15:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/18 (20:35:48) | ===> btop++ v.1.3.2
2024/09/18 (20:35:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/20 (19:40:10) | ===> btop++ v.1.3.2
2024/09/20 (19:40:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/23 (17:18:13) | ===> btop++ v.1.3.2
2024/09/23 (17:18:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/24 (17:42:31) | ===> btop++ v.1.3.2
2024/09/24 (17:42:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/25 (18:02:18) | ===> btop++ v.1.3.2
2024/09/25 (18:02:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/28 (06:21:31) | ===> btop++ v.1.3.2
2024/09/28 (06:21:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/28 (06:22:11) | ===> btop++ v.1.3.2
2024/09/28 (06:22:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/28 (06:22:17) | ===> btop++ v.1.3.2
2024/09/28 (06:22:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/28 (06:22:41) | ===> btop++ v.1.3.2
2024/09/28 (06:22:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
